1218084.BBJK01000057_gene4392,lolA,Outer-membrane&nbsp;lipoprotein&nbsp;carrier&nbsp;protein,98.9
1218084.BBJK01000131_gene7175,BBJK01000131_gene7175,annotation&nbsp;not&nbsp;available,92.6
1218084.BBJK01000083_gene5653,grpE,Protein&nbsp;GrpE,92.6
1218084.BBJK01000183_gene7997,BBJK01000183_gene7997,annotation&nbsp;not&nbsp;available,92.6
1218084.BBJK01000023_gene2390,BBJK01000023_gene2390,annotation&nbsp;not&nbsp;available,92.6
1218084.BBJK01000075_gene5210,BBJK01000075_gene5210,annotation&nbsp;not&nbsp;available,92.6
1218084.BBJK01000031_gene2976,BBJK01000031_gene2976,annotation&nbsp;not&nbsp;available,92.6
1218084.BBJK01000019_gene2079,gpsA,annotation&nbsp;not&nbsp;available,92.6
1218084.BBJK01000013_gene1387,BBJK01000013_gene1387,annotation&nbsp;not&nbsp;available,92.5
1218084.BBJK01000077_gene5367,BBJK01000077_gene5367,Ribose&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;RbsA,92.5
1218084.BBJK01000102_gene6406,BBJK01000102_gene6406,annotation&nbsp;not&nbsp;available,92.5
1218084.BBJK01000001_gene33,BBJK01000001_gene33,annotation&nbsp;not&nbsp;available,92.5
1218084.BBJK01000100_gene6305,BBJK01000100_gene6305,annotation&nbsp;not&nbsp;available,92.5
1218084.BBJK01000054_gene4176,BBJK01000054_gene4176,annotation&nbsp;not&nbsp;available,92.5
1218084.BBJK01000012_gene1306,BBJK01000012_gene1306,annotation&nbsp;not&nbsp;available,92.5
1218084.BBJK01000027_gene2624,hscB,Co-chaperone&nbsp;protein&nbsp;HscB&nbsp;homolog,92.4
1218084.BBJK01000088_gene5871,BBJK01000088_gene5871,annotation&nbsp;not&nbsp;available,92.4
1218084.BBJK01000015_gene1624,BBJK01000015_gene1624,annotation&nbsp;not&nbsp;available,92.4
1218084.BBJK01000031_gene2909,BBJK01000031_gene2909,annotation&nbsp;not&nbsp;available,92.4
1218084.BBJK01000066_gene4916,BBJK01000066_gene4916,annotation&nbsp;not&nbsp;available,92.4
1218084.BBJK01000145_gene7432,BBJK01000145_gene7432,annotation&nbsp;not&nbsp;available,92.4
1218084.BBJK01000104_gene6524,BBJK01000104_gene6524,annotation&nbsp;not&nbsp;available,92.3
1218084.BBJK01000032_gene3140,BBJK01000032_gene3140,annotation&nbsp;not&nbsp;available,92.3
1218084.BBJK01000010_gene1247,BBJK01000010_gene1247,annotation&nbsp;not&nbsp;available,92.3
1218084.BBJK01000162_gene7742,BBJK01000162_gene7742,annotation&nbsp;not&nbsp;available,92.3
1218084.BBJK01000069_gene4997,BBJK01000069_gene4997,annotation&nbsp;not&nbsp;available,92.2
1218084.BBJK01000076_gene5245,BBJK01000076_gene5245,annotation&nbsp;not&nbsp;available,92.2
1218084.BBJK01000089_gene5904,BBJK01000089_gene5904,annotation&nbsp;not&nbsp;available,92.2
1218084.BBJK01000023_gene2388,BBJK01000023_gene2388,annotation&nbsp;not&nbsp;available,92.2
1218084.BBJK01000008_gene1171,BBJK01000008_gene1171,annotation&nbsp;not&nbsp;available,92.2
1218084.BBJK01000054_gene4183,BBJK01000054_gene4183,Replicative&nbsp;DNA&nbsp;helicase,92.2
1218084.BBJK01000019_gene2035,ctc,50S&nbsp;ribosomal&nbsp;protein&nbsp;L25,92.2
1218084.BBJK01000032_gene3136,BBJK01000032_gene3136,annotation&nbsp;not&nbsp;available,92.2
1218084.BBJK01000189_gene8043,valS,Valine--tRNA&nbsp;ligase,92.2
1218084.BBJK01000091_gene6005,BBJK01000091_gene6005,annotation&nbsp;not&nbsp;available,92.2
1218084.BBJK01000125_gene7047,BBJK01000125_gene7047,annotation&nbsp;not&nbsp;available,92.2
1218084.BBJK01000023_gene2407,BBJK01000023_gene2407,annotation&nbsp;not&nbsp;available,92.2
1218084.BBJK01000165_gene7784,BBJK01000165_gene7784,annotation&nbsp;not&nbsp;available,92.2
1218084.BBJK01000031_gene2984,BBJK01000031_gene2984,annotation&nbsp;not&nbsp;available,92.1
1218084.BBJK01000130_gene7131,BBJK01000130_gene7131,annotation&nbsp;not&nbsp;available,92.1
1218084.BBJK01000096_gene6191,BBJK01000096_gene6191,annotation&nbsp;not&nbsp;available,92.1
1218084.BBJK01000124_gene7000,BBJK01000124_gene7000,annotation&nbsp;not&nbsp;available,92.1
1218084.BBJK01000029_gene2815,BBJK01000029_gene2815,annotation&nbsp;not&nbsp;available,92.1
1218084.BBJK01000013_gene1365,BBJK01000013_gene1365,annotation&nbsp;not&nbsp;available,92.1
1218084.BBJK01000078_gene5427,BBJK01000078_gene5427,annotation&nbsp;not&nbsp;available,92.1
1218084.BBJK01000150_gene7571,BBJK01000150_gene7571,annotation&nbsp;not&nbsp;available,92.1
1218084.BBJK01000037_gene3533,BBJK01000037_gene3533,annotation&nbsp;not&nbsp;available,92.1
1218084.BBJK01000198_gene8102,BBJK01000198_gene8102,annotation&nbsp;not&nbsp;available,92.0
1218084.BBJK01000149_gene7545,BBJK01000149_gene7545,annotation&nbsp;not&nbsp;available,92.0
1218084.BBJK01000082_gene5610,BBJK01000082_gene5610,annotation&nbsp;not&nbsp;available,92.0
1218084.BBJK01000085_gene5740,rph,Ribonuclease&nbsp;PH,92.0
1218084.BBJK01000002_gene273,BBJK01000002_gene273,annotation&nbsp;not&nbsp;available,92.0
1218084.BBJK01000033_gene3178,BBJK01000033_gene3178,annotation&nbsp;not&nbsp;available,92.0
1218084.BBJK01000128_gene7087,BBJK01000128_gene7087,annotation&nbsp;not&nbsp;available,92.0
1218084.BBJK01000151_gene7594,BBJK01000151_gene7594,annotation&nbsp;not&nbsp;available,92.0
1218084.BBJK01000173_gene7895,BBJK01000173_gene7895,annotation&nbsp;not&nbsp;available,91.9
1218084.BBJK01000050_gene4050,BBJK01000050_gene4050,annotation&nbsp;not&nbsp;available,91.9
1218084.BBJK01000066_gene4933,BBJK01000066_gene4933,annotation&nbsp;not&nbsp;available,91.9
1218084.BBJK01000175_gene7922,BBJK01000175_gene7922,annotation&nbsp;not&nbsp;available,91.9
1218084.BBJK01000039_gene3619,BBJK01000039_gene3619,annotation&nbsp;not&nbsp;available,91.9
1218084.BBJK01000058_gene4502,hmgA,"Homogentisate&nbsp;1,2-dioxygenase",91.8
1218084.BBJK01000137_gene7282,BBJK01000137_gene7282,annotation&nbsp;not&nbsp;available,91.8
1218084.BBJK01000059_gene4545,BBJK01000059_gene4545,annotation&nbsp;not&nbsp;available,91.8
1218084.BBJK01000052_gene4158,nodI,Nod&nbsp;factor&nbsp;export&nbsp;ATP-binding&nbsp;protein&nbsp;I,91.8
1218084.BBJK01000048_gene4000,BBJK01000048_gene4000,annotation&nbsp;not&nbsp;available,91.8
1218084.BBJK01000011_gene1276,BBJK01000011_gene1276,annotation&nbsp;not&nbsp;available,91.8
1218084.BBJK01000074_gene5164,BBJK01000074_gene5164,annotation&nbsp;not&nbsp;available,91.8
1218084.BBJK01000154_gene7640,BBJK01000154_gene7640,annotation&nbsp;not&nbsp;available,91.8
1218084.BBJK01000182_gene7986,fliA,RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor&nbsp;FliA,91.8
1218084.BBJK01000080_gene5538,BBJK01000080_gene5538,annotation&nbsp;not&nbsp;available,91.8
1218084.BBJK01000007_gene909,BBJK01000007_gene909,annotation&nbsp;not&nbsp;available,91.8
1218084.BBJK01000006_gene697,xerC,annotation&nbsp;not&nbsp;available,91.7
1218084.BBJK01000016_gene1722,BBJK01000016_gene1722,annotation&nbsp;not&nbsp;available,91.7
1218084.BBJK01000033_gene3180,BBJK01000033_gene3180,annotation&nbsp;not&nbsp;available,91.7
1218084.BBJK01000030_gene2850,BBJK01000030_gene2850,annotation&nbsp;not&nbsp;available,91.7
1218084.BBJK01000031_gene2901,BBJK01000031_gene2901,annotation&nbsp;not&nbsp;available,91.7
1218084.BBJK01000064_gene4840,BBJK01000064_gene4840,annotation&nbsp;not&nbsp;available,91.7
1218084.BBJK01000003_gene539,BBJK01000003_gene539,annotation&nbsp;not&nbsp;available,91.7
1218084.BBJK01000058_gene4465,fcl,GDP-L-fucose&nbsp;synthase,91.6
1218084.BBJK01000124_gene7012,BBJK01000124_gene7012,annotation&nbsp;not&nbsp;available,91.6
1218084.BBJK01000077_gene5376,BBJK01000077_gene5376,annotation&nbsp;not&nbsp;available,91.6
1218084.BBJK01000066_gene4935,BBJK01000066_gene4935,annotation&nbsp;not&nbsp;available,91.6
1218084.BBJK01000202_gene8131,BBJK01000202_gene8131,annotation&nbsp;not&nbsp;available,91.6
1218084.BBJK01000073_gene5126,BBJK01000073_gene5126,annotation&nbsp;not&nbsp;available,91.6
1218084.BBJK01000060_gene4618,BBJK01000060_gene4618,annotation&nbsp;not&nbsp;available,91.6
1218084.BBJK01000187_gene8028,BBJK01000187_gene8028,annotation&nbsp;not&nbsp;available,91.6
1218084.BBJK01000042_gene3751,BBJK01000042_gene3751,annotation&nbsp;not&nbsp;available,91.6
1218084.BBJK01000028_gene2715,BBJK01000028_gene2715,annotation&nbsp;not&nbsp;available,91.5
1218084.BBJK01000003_gene370,BBJK01000003_gene370,annotation&nbsp;not&nbsp;available,91.5
1218084.BBJK01000008_gene1126,BBJK01000008_gene1126,annotation&nbsp;not&nbsp;available,91.5
1218084.BBJK01000003_gene480,BBJK01000003_gene480,annotation&nbsp;not&nbsp;available,91.5
1218084.BBJK01000102_gene6385,BBJK01000102_gene6385,annotation&nbsp;not&nbsp;available,91.5
1218084.BBJK01000034_gene3293,BBJK01000034_gene3293,annotation&nbsp;not&nbsp;available,91.5
1218084.BBJK01000043_gene3830,BBJK01000043_gene3830,annotation&nbsp;not&nbsp;available,91.5
1218084.BBJK01000006_gene845,BBJK01000006_gene845,annotation&nbsp;not&nbsp;available,91.5
1218084.BBJK01000016_gene1717,BBJK01000016_gene1717,annotation&nbsp;not&nbsp;available,91.5
1218084.BBJK01000042_gene3800,BBJK01000042_gene3800,annotation&nbsp;not&nbsp;available,91.5
1218084.BBJK01000073_gene5103,BBJK01000073_gene5103,annotation&nbsp;not&nbsp;available,91.5
1218084.BBJK01000019_gene2051,BBJK01000019_gene2051,annotation&nbsp;not&nbsp;available,91.4
1218084.BBJK01000003_gene419,BBJK01000003_gene419,annotation&nbsp;not&nbsp;available,91.4
1218084.BBJK01000089_gene5892,BBJK01000089_gene5892,annotation&nbsp;not&nbsp;available,91.4
1218084.BBJK01000013_gene1458,BBJK01000013_gene1458,annotation&nbsp;not&nbsp;available,91.4
1218084.BBJK01000110_gene6692,BBJK01000110_gene6692,annotation&nbsp;not&nbsp;available,91.4
1218084.BBJK01000037_gene3466,BBJK01000037_gene3466,annotation&nbsp;not&nbsp;available,91.4
1218084.BBJK01000002_gene100,BBJK01000002_gene100,annotation&nbsp;not&nbsp;available,91.4
1218084.BBJK01000037_gene3468,BBJK01000037_gene3468,annotation&nbsp;not&nbsp;available,91.4
1218084.BBJK01000112_gene6726,BBJK01000112_gene6726,annotation&nbsp;not&nbsp;available,91.4
1218084.BBJK01000017_gene1887,BBJK01000017_gene1887,annotation&nbsp;not&nbsp;available,91.4
1218084.BBJK01000075_gene5184,BBJK01000075_gene5184,annotation&nbsp;not&nbsp;available,91.4
1218084.BBJK01000013_gene1462,BBJK01000013_gene1462,annotation&nbsp;not&nbsp;available,91.4
1218084.BBJK01000143_gene7409,glgE,"Alpha-1,4-glucan:maltose-1-phosphate&nbsp;maltosyltransferase",91.3
1218084.BBJK01000172_gene7874,BBJK01000172_gene7874,annotation&nbsp;not&nbsp;available,91.3
1218084.BBJK01000109_gene6671,BBJK01000109_gene6671,annotation&nbsp;not&nbsp;available,91.3
1218084.BBJK01000008_gene1212,BBJK01000008_gene1212,annotation&nbsp;not&nbsp;available,91.3
1218084.BBJK01000003_gene510,BBJK01000003_gene510,annotation&nbsp;not&nbsp;available,91.3
1218084.BBJK01000174_gene7906,BBJK01000174_gene7906,annotation&nbsp;not&nbsp;available,91.3
1218084.BBJK01000064_gene4839,BBJK01000064_gene4839,annotation&nbsp;not&nbsp;available,91.3
1218084.BBJK01000048_gene4021,BBJK01000048_gene4021,annotation&nbsp;not&nbsp;available,91.3
1218084.BBJK01000164_gene7762,BBJK01000164_gene7762,annotation&nbsp;not&nbsp;available,91.3
1218084.BBJK01000019_gene2013,BBJK01000019_gene2013,Formyltetrahydrofolate&nbsp;deformylase,91.3
1218084.BBJK01000048_gene4014,BBJK01000048_gene4014,annotation&nbsp;not&nbsp;available,91.3
1218084.BBJK01000067_gene4960,BBJK01000067_gene4960,annotation&nbsp;not&nbsp;available,91.2
1218084.BBJK01000188_gene8041,BBJK01000188_gene8041,annotation&nbsp;not&nbsp;available,91.2
1218084.BBJK01000001_gene43,BBJK01000001_gene43,annotation&nbsp;not&nbsp;available,91.2
1218084.BBJK01000064_gene4819,BBJK01000064_gene4819,annotation&nbsp;not&nbsp;available,91.2
1218084.BBJK01000015_gene1532,BBJK01000015_gene1532,annotation&nbsp;not&nbsp;available,91.2
1218084.BBJK01000080_gene5565,BBJK01000080_gene5565,annotation&nbsp;not&nbsp;available,91.2
1218084.BBJK01000017_gene1872,BBJK01000017_gene1872,annotation&nbsp;not&nbsp;available,91.2
1218084.BBJK01000073_gene5109,BBJK01000073_gene5109,annotation&nbsp;not&nbsp;available,91.2
1218084.BBJK01000032_gene3088,BBJK01000032_gene3088,annotation&nbsp;not&nbsp;available,91.2
1218084.BBJK01000044_gene3880,BBJK01000044_gene3880,annotation&nbsp;not&nbsp;available,91.2
1218084.BBJK01000082_gene5622,BBJK01000082_gene5622,annotation&nbsp;not&nbsp;available,91.2
1218084.BBJK01000201_gene8123,BBJK01000201_gene8123,annotation&nbsp;not&nbsp;available,91.1
1218084.BBJK01000032_gene3161,ruvC,Crossover&nbsp;junction&nbsp;endodeoxyribonuclease&nbsp;RuvC,91.1
1218084.BBJK01000042_gene3746,BBJK01000042_gene3746,annotation&nbsp;not&nbsp;available,91.1
1218084.BBJK01000052_gene4145,ssuB,Aliphatic&nbsp;sulfonates&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;SsuB,91.1
1218084.BBJK01000032_gene3044,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,91.1
1218084.BBJK01000017_gene1923,BBJK01000017_gene1923,annotation&nbsp;not&nbsp;available,91.1
1218084.BBJK01000089_gene5895,BBJK01000089_gene5895,annotation&nbsp;not&nbsp;available,91.1
1218084.BBJK01000013_gene1452,BBJK01000013_gene1452,annotation&nbsp;not&nbsp;available,91.1
1218084.BBJK01000034_gene3254,BBJK01000034_gene3254,annotation&nbsp;not&nbsp;available,91.1
1218084.BBJK01000090_gene5964,tatB,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatB,91.1
1218084.BBJK01000031_gene3022,BBJK01000031_gene3022,annotation&nbsp;not&nbsp;available,91.1
1218084.BBJK01000143_gene7406,BBJK01000143_gene7406,annotation&nbsp;not&nbsp;available,91.1
1218084.BBJK01000078_gene5441,BBJK01000078_gene5441,annotation&nbsp;not&nbsp;available,91.0
1218084.BBJK01000090_gene5968,hisE,annotation&nbsp;not&nbsp;available,91.0
1218084.BBJK01000091_gene6022,BBJK01000091_gene6022,annotation&nbsp;not&nbsp;available,91.0
1218084.BBJK01000078_gene5411,BBJK01000078_gene5411,Ornithine&nbsp;carbamoyltransferase,91.0
1218084.BBJK01000019_gene2037,BBJK01000019_gene2037,annotation&nbsp;not&nbsp;available,91.0
1218084.BBJK01000123_gene6963,BBJK01000123_gene6963,annotation&nbsp;not&nbsp;available,91.0
1218084.BBJK01000103_gene6446,gltD,annotation&nbsp;not&nbsp;available,91.0
1218084.BBJK01000130_gene7140,BBJK01000130_gene7140,annotation&nbsp;not&nbsp;available,91.0
1218084.BBJK01000089_gene5884,BBJK01000089_gene5884,annotation&nbsp;not&nbsp;available,91.0
1218084.BBJK01000007_gene917,BBJK01000007_gene917,annotation&nbsp;not&nbsp;available,91.0
1218084.BBJK01000031_gene2928,BBJK01000031_gene2928,annotation&nbsp;not&nbsp;available,90.9
1218084.BBJK01000094_gene6116,BBJK01000094_gene6116,annotation&nbsp;not&nbsp;available,90.9
1218084.BBJK01000044_gene3895,BBJK01000044_gene3895,annotation&nbsp;not&nbsp;available,90.9
1218084.BBJK01000042_gene3786,BBJK01000042_gene3786,annotation&nbsp;not&nbsp;available,90.9
1218084.BBJK01000014_gene1482,BBJK01000014_gene1482,annotation&nbsp;not&nbsp;available,90.9
1218084.BBJK01000169_gene7836,BBJK01000169_gene7836,annotation&nbsp;not&nbsp;available,90.9
1218084.BBJK01000010_gene1261,BBJK01000010_gene1261,annotation&nbsp;not&nbsp;available,90.9
1218084.BBJK01000079_gene5492,BBJK01000079_gene5492,annotation&nbsp;not&nbsp;available,90.9
1218084.BBJK01000029_gene2767,BBJK01000029_gene2767,annotation&nbsp;not&nbsp;available,90.9
1218084.BBJK01000136_gene7232,BBJK01000136_gene7232,annotation&nbsp;not&nbsp;available,90.9
1218084.BBJK01000043_gene3847,BBJK01000043_gene3847,annotation&nbsp;not&nbsp;available,90.8
1218084.BBJK01000016_gene1679,BBJK01000016_gene1679,annotation&nbsp;not&nbsp;available,90.8
1218084.BBJK01000034_gene3235,BBJK01000034_gene3235,annotation&nbsp;not&nbsp;available,90.8
1218084.BBJK01000032_gene3121,BBJK01000032_gene3121,annotation&nbsp;not&nbsp;available,90.7
1218084.BBJK01000023_gene2332,BBJK01000023_gene2332,annotation&nbsp;not&nbsp;available,90.7
1218084.BBJK01000020_gene2098,BBJK01000020_gene2098,annotation&nbsp;not&nbsp;available,90.7
1218084.BBJK01000029_gene2768,BBJK01000029_gene2768,annotation&nbsp;not&nbsp;available,90.7
1218084.BBJK01000021_gene2240,BBJK01000021_gene2240,annotation&nbsp;not&nbsp;available,90.7
1218084.BBJK01000061_gene4688,BBJK01000061_gene4688,annotation&nbsp;not&nbsp;available,90.7
1218084.BBJK01000054_gene4186,BBJK01000054_gene4186,annotation&nbsp;not&nbsp;available,90.7
1218084.BBJK01000120_gene6890,BBJK01000120_gene6890,annotation&nbsp;not&nbsp;available,90.6
1218084.BBJK01000076_gene5290,clpX,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;ATP-binding&nbsp;subunit&nbsp;ClpX,90.6
1218084.BBJK01000021_gene2263,BBJK01000021_gene2263,annotation&nbsp;not&nbsp;available,90.6
1218084.BBJK01000016_gene1799,BBJK01000016_gene1799,annotation&nbsp;not&nbsp;available,90.6
1218084.BBJK01000075_gene5168,BBJK01000075_gene5168,annotation&nbsp;not&nbsp;available,90.6
1218084.BBJK01000005_gene678,BBJK01000005_gene678,annotation&nbsp;not&nbsp;available,90.6
1218084.BBJK01000061_gene4726,BBJK01000061_gene4726,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;beta,90.6
1218084.BBJK01000020_gene2116,BBJK01000020_gene2116,annotation&nbsp;not&nbsp;available,90.6
1218084.BBJK01000040_gene3669,BBJK01000040_gene3669,annotation&nbsp;not&nbsp;available,90.5
1218084.BBJK01000007_gene934,BBJK01000007_gene934,annotation&nbsp;not&nbsp;available,90.5
1218084.BBJK01000028_gene2716,BBJK01000028_gene2716,annotation&nbsp;not&nbsp;available,90.5
1218084.BBJK01000078_gene5450,BBJK01000078_gene5450,annotation&nbsp;not&nbsp;available,90.5
1218084.BBJK01000004_gene634,BBJK01000004_gene634,annotation&nbsp;not&nbsp;available,90.5
1218084.BBJK01000038_gene3552,BBJK01000038_gene3552,annotation&nbsp;not&nbsp;available,90.5
1218084.BBJK01000057_gene4339,rpmB,annotation&nbsp;not&nbsp;available,90.4
1218084.BBJK01000059_gene4509,BBJK01000059_gene4509,annotation&nbsp;not&nbsp;available,90.4
1218084.BBJK01000025_gene2498,BBJK01000025_gene2498,annotation&nbsp;not&nbsp;available,90.4
1218084.BBJK01000017_gene1857,BBJK01000017_gene1857,annotation&nbsp;not&nbsp;available,90.4
1218084.BBJK01000039_gene3613,BBJK01000039_gene3613,annotation&nbsp;not&nbsp;available,90.4
1218084.BBJK01000165_gene7781,BBJK01000165_gene7781,annotation&nbsp;not&nbsp;available,90.4
1218084.BBJK01000015_gene1548,BBJK01000015_gene1548,annotation&nbsp;not&nbsp;available,90.4
1218084.BBJK01000030_gene2840,BBJK01000030_gene2840,annotation&nbsp;not&nbsp;available,90.4
1218084.BBJK01000007_gene991,BBJK01000007_gene991,annotation&nbsp;not&nbsp;available,90.4
1218084.BBJK01000020_gene2097,BBJK01000020_gene2097,annotation&nbsp;not&nbsp;available,90.3
1218084.BBJK01000210_gene8159,BBJK01000210_gene8159,annotation&nbsp;not&nbsp;available,90.3
1218084.BBJK01000103_gene6480,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,90.3
1218084.BBJK01000015_gene1518,BBJK01000015_gene1518,annotation&nbsp;not&nbsp;available,90.3
1218084.BBJK01000025_gene2487,BBJK01000025_gene2487,annotation&nbsp;not&nbsp;available,90.3
1218084.BBJK01000021_gene2160,BBJK01000021_gene2160,annotation&nbsp;not&nbsp;available,90.3
1218084.BBJK01000155_gene7660,BBJK01000155_gene7660,annotation&nbsp;not&nbsp;available,90.3
1218084.BBJK01000034_gene3189,BBJK01000034_gene3189,annotation&nbsp;not&nbsp;available,90.3
1218084.BBJK01000005_gene640,BBJK01000005_gene640,annotation&nbsp;not&nbsp;available,90.3
1218084.BBJK01000079_gene5499,BBJK01000079_gene5499,annotation&nbsp;not&nbsp;available,90.3
1218084.BBJK01000025_gene2504,BBJK01000025_gene2504,annotation&nbsp;not&nbsp;available,90.2
1218084.BBJK01000100_gene6292,BBJK01000100_gene6292,annotation&nbsp;not&nbsp;available,90.2
1218084.BBJK01000122_gene6938,BBJK01000122_gene6938,annotation&nbsp;not&nbsp;available,90.2
1218084.BBJK01000044_gene3944,BBJK01000044_gene3944,annotation&nbsp;not&nbsp;available,90.2
1218084.BBJK01000004_gene625,BBJK01000004_gene625,annotation&nbsp;not&nbsp;available,90.2
1218084.BBJK01000052_gene4106,BBJK01000052_gene4106,annotation&nbsp;not&nbsp;available,90.2
1218084.BBJK01000058_gene4448,mutL,DNA&nbsp;mismatch&nbsp;repair&nbsp;protein&nbsp;MutL,90.2
1218084.BBJK01000089_gene5907,BBJK01000089_gene5907,annotation&nbsp;not&nbsp;available,90.2
1218084.BBJK01000032_gene3070,proB,Glutamate&nbsp;5-kinase,90.2
1218084.BBJK01000055_gene4265,BBJK01000055_gene4265,annotation&nbsp;not&nbsp;available,90.2
1218084.BBJK01000128_gene7085,BBJK01000128_gene7085,annotation&nbsp;not&nbsp;available,90.2
1218084.BBJK01000025_gene2558,ftsH,ATP-dependent&nbsp;zinc&nbsp;metalloprotease&nbsp;FtsH,90.1
1218084.BBJK01000147_gene7475,BBJK01000147_gene7475,annotation&nbsp;not&nbsp;available,90.1
1218084.BBJK01000013_gene1446,BBJK01000013_gene1446,annotation&nbsp;not&nbsp;available,90.1
1218084.BBJK01000061_gene4719,BBJK01000061_gene4719,annotation&nbsp;not&nbsp;available,90.1
1218084.BBJK01000001_gene85,BBJK01000001_gene85,annotation&nbsp;not&nbsp;available,90.1
1218084.BBJK01000025_gene2518,BBJK01000025_gene2518,annotation&nbsp;not&nbsp;available,90.1
1218084.BBJK01000086_gene5767,BBJK01000086_gene5767,annotation&nbsp;not&nbsp;available,90.1
1218084.BBJK01000031_gene2926,BBJK01000031_gene2926,annotation&nbsp;not&nbsp;available,90.1
1218084.BBJK01000202_gene8127,BBJK01000202_gene8127,annotation&nbsp;not&nbsp;available,90.0
1218084.BBJK01000031_gene3015,BBJK01000031_gene3015,annotation&nbsp;not&nbsp;available,90.0
1218084.BBJK01000126_gene7063,BBJK01000126_gene7063,annotation&nbsp;not&nbsp;available,90.0
1218084.BBJK01000003_gene449,BBJK01000003_gene449,annotation&nbsp;not&nbsp;available,90.0
1218084.BBJK01000164_gene7766,BBJK01000164_gene7766,annotation&nbsp;not&nbsp;available,90.0
1218084.BBJK01000016_gene1787,BBJK01000016_gene1787,annotation&nbsp;not&nbsp;available,90.0
1218084.BBJK01000063_gene4773,BBJK01000063_gene4773,annotation&nbsp;not&nbsp;available,90.0
1218084.BBJK01000037_gene3477,BBJK01000037_gene3477,annotation&nbsp;not&nbsp;available,90.0
1218084.BBJK01000196_gene8093,BBJK01000196_gene8093,annotation&nbsp;not&nbsp;available,90.0
1218084.BBJK01000027_gene2623,BBJK01000027_gene2623,annotation&nbsp;not&nbsp;available,89.9
1218084.BBJK01000013_gene1475,BBJK01000013_gene1475,annotation&nbsp;not&nbsp;available,89.9
1218084.BBJK01000103_gene6474,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,89.9
1218084.BBJK01000049_gene4038,BBJK01000049_gene4038,annotation&nbsp;not&nbsp;available,89.9
1218084.BBJK01000007_gene988,BBJK01000007_gene988,annotation&nbsp;not&nbsp;available,89.9
1218084.BBJK01000040_gene3670,BBJK01000040_gene3670,annotation&nbsp;not&nbsp;available,89.9
1218084.BBJK01000055_gene4233,BBJK01000055_gene4233,annotation&nbsp;not&nbsp;available,89.9
1218084.BBJK01000060_gene4608,BBJK01000060_gene4608,annotation&nbsp;not&nbsp;available,89.8
1218084.BBJK01000013_gene1453,BBJK01000013_gene1453,annotation&nbsp;not&nbsp;available,89.8
1218084.BBJK01000037_gene3519,BBJK01000037_gene3519,annotation&nbsp;not&nbsp;available,89.8
1218084.BBJK01000002_gene261,BBJK01000002_gene261,annotation&nbsp;not&nbsp;available,89.8
1218084.BBJK01000072_gene5052,BBJK01000072_gene5052,annotation&nbsp;not&nbsp;available,89.8
1218084.BBJK01000044_gene3923,BBJK01000044_gene3923,annotation&nbsp;not&nbsp;available,89.8
1218084.BBJK01000025_gene2520,BBJK01000025_gene2520,annotation&nbsp;not&nbsp;available,89.8
1218084.BBJK01000007_gene943,BBJK01000007_gene943,annotation&nbsp;not&nbsp;available,89.8
1218084.BBJK01000102_gene6417,BBJK01000102_gene6417,D-amino&nbsp;acid&nbsp;dehydrogenase,89.8
1218084.BBJK01000090_gene5934,hemA,Glutamyl-tRNA&nbsp;reductase,89.8
1218084.BBJK01000090_gene5933,BBJK01000090_gene5933,annotation&nbsp;not&nbsp;available,89.8
1218084.BBJK01000060_gene4627,BBJK01000060_gene4627,annotation&nbsp;not&nbsp;available,89.8
1218084.BBJK01000061_gene4711,BBJK01000061_gene4711,annotation&nbsp;not&nbsp;available,89.8
1218084.BBJK01000044_gene3870,BBJK01000044_gene3870,annotation&nbsp;not&nbsp;available,89.7
1218084.BBJK01000025_gene2548,BBJK01000025_gene2548,annotation&nbsp;not&nbsp;available,89.7
1218084.BBJK01000059_gene4528,BBJK01000059_gene4528,annotation&nbsp;not&nbsp;available,89.7
1218084.BBJK01000076_gene5247,BBJK01000076_gene5247,annotation&nbsp;not&nbsp;available,89.7
1218084.BBJK01000151_gene7593,BBJK01000151_gene7593,annotation&nbsp;not&nbsp;available,89.7
1218084.BBJK01000095_gene6151,BBJK01000095_gene6151,annotation&nbsp;not&nbsp;available,89.7
1218084.BBJK01000061_gene4734,BBJK01000061_gene4734,annotation&nbsp;not&nbsp;available,89.7
1218084.BBJK01000148_gene7512,BBJK01000148_gene7512,annotation&nbsp;not&nbsp;available,89.7
1218084.BBJK01000184_gene8006,BBJK01000184_gene8006,annotation&nbsp;not&nbsp;available,89.7
1218084.BBJK01000152_gene7609,BBJK01000152_gene7609,annotation&nbsp;not&nbsp;available,89.7
1218084.BBJK01000108_gene6637,BBJK01000108_gene6637,annotation&nbsp;not&nbsp;available,89.7
1218084.BBJK01000077_gene5369,BBJK01000077_gene5369,annotation&nbsp;not&nbsp;available,89.6
